#simptom;ime;godina;pol;rasa;ver
macular_degeneration;blidness;30-44;musko;other;0.009
macular_degeneration;blidness;30-44;zensko;other;0.01
macular_degeneration;blidness;45-59;musko;black;0.016
macular_degeneration;blidness;45-59;zensko;black;0.02
macular_degeneration;blidness;45-59;musko;hispanic;0.026
macular_degeneration;blidness;45-59;zensko;hispanic;0.032
macular_degeneration;blidness;45-59;musko;white;0.039
macular_degeneration;blidness;45-59;zensko;white;0.047
macular_degeneration;blidness;45-59;musko;other;0.026
macular_degeneration;blidness;45-59;zensko;other;0.032
macular_degeneration;blidness;60-74;musko;black;0.057
macular_degeneration;blidness;60-74;zensko;black;0.07
macular_degeneration;blidness;60-74;musko;hispanic;0.09
macular_degeneration;blidness;60-74;zensko;hispanic;0.11
macular_degeneration;blidness;60-74;musko;white;0.136
macular_degeneration;blidness;60-74;zensko;white;0.166
macular_degeneration;blidness;60-74;musko;other;0.09
macular_degeneration;blidness;60-74;zensko;other;0.11
macular_degeneration;blidness;75;musko;black;0.146
macular_degeneration;blidness;75;zensko;black;0.178
macular_degeneration;blidness;75;musko;hispanic;0.233
macular_degeneration;blidness;75;zensko;hispanic;0.285
macular_degeneration;blidness;75;musko;white;0.35
macular_degeneration;blidness;75;zensko;white;0.427
macular_degeneration;blidness;75;musko;other;0.233
macular_degeneration;blidness;75;zensko;other;0.285
cataract;blidness;0;musko;black;0
cataract;blidness;0;zensko;black;0
cataract;blidness;0;musko;hispanic;0
cataract;blidness;0;zensko;hispanic;0
cataract;blidness;0;musko;white;0
cataract;blidness;0;zensko;white;0
cataract;blidness;0;musko;other;0
cataract;blidness;0;zensko;other;0
cataract;blidness;1-4;musko;black;0
cataract;blidness;1-4;zensko;black;0
cataract;blidness;1-4;musko;hispanic;0
cataract;blidness;1-4;zensko;hispanic;0
cataract;blidness;1-4;musko;white;0
cataract;blidness;1-4;zensko;white;0
cataract;blidness;1-4;musko;other;0
cataract;blidness;1-4;zensko;other;0
cataract;blidness;5-14;musko;black;0.011
cataract;blidness;5-14;zensko;black;0.011
cataract;blidness;5-14;musko;hispanic;0.007
cataract;blidness;5-14;zensko;hispanic;0.007
cataract;blidness;5-14;musko;white;0.013
cataract;blidness;5-14;zensko;white;0.013
cataract;blidness;5-14;musko;other;0.014
cataract;blidness;5-14;zensko;other;0.014
cataract;blidness;15-29;musko;black;0
cataract;blidness;15-29;zensko;black;0
cataract;blidness;15-29;musko;hispanic;0
cataract;blidness;15-29;zensko;hispanic;0
cataract;blidness;15-29;musko;white;0
cataract;blidness;15-29;zensko;white;0
cataract;blidness;15-29;musko;other;0
cataract;blidness;15-29;zensko;other;0
cataract;blidness;30-44;musko;black;0.011
cataract;blidness;30-44;zensko;black;0.011
cataract;blidness;30-44;musko;hispanic;0.007
cataract;blidness;30-44;zensko;hispanic;0.007
cataract;blidness;30-44;musko;white;0.013
cataract;blidness;30-44;zensko;white;0.013
cataract;blidness;30-44;musko;other;0.014
cataract;blidness;30-44;zensko;other;0.014
cataract;blidness;45-59;musko;black;0.086
cataract;blidness;45-59;zensko;black;0.086
cataract;blidness;45-59;musko;hispanic;0.057
cataract;blidness;45-59;zensko;hispanic;0.057
cataract;blidness;45-59;musko;white;0.106
cataract;blidness;45-59;zensko;white;0.106
cataract;blidness;45-59;musko;other;0.115
cataract;blidness;45-59;zensko;other;0.115
cataract;blidness;60-74;musko;black;0.356
cataract;blidness;60-74;zensko;black;0.356
cataract;blidness;60-74;musko;hispanic;0.238
cataract;blidness;60-74;zensko;hispanic;0.238
cataract;blidness;60-74;musko;white;0.436
cataract;blidness;60-74;zensko;white;0.436
cataract;blidness;60-74;musko;other;0.475
cataract;blidness;60-74;zensko;other;0.475
cataract;blidness;75;musko;black;0.389
cataract;blidness;75;zensko;black;0.289
cataract;blidness;75;musko;hispanic;0.26
cataract;blidness;75;zensko;hispanic;0.26
cataract;blidness;75;musko;white;0.475
cataract;blidness;75;zensko;white;0.475
cataract;blidness;75;musko;other;0.518
cataract;blidness;75;zensko;other;0.518
chronic_glaucoma;blidness;0;musko;black;0.012
chronic_glaucoma;blidness;0;zensko;black;0.012
chronic_glaucoma;blidness;0;musko;hispanic;0.006
chronic_glaucoma;blidness;0;zensko;hispanic;0.006
chronic_glaucoma;blidness;0;musko;white;0.007
chronic_glaucoma;blidness;0;zensko;white;0.007
chronic_glaucoma;blidness;0;musko;other;0.011
chronic_glaucoma;blidness;0;zensko;other;0.011
chronic_glaucoma;blidness;1-4;musko;black;0
chronic_glaucoma;blidness;1-4;zensko;black;0
chronic_glaucoma;blidness;1-4;musko;hispanic;0
chronic_glaucoma;blidness;1-4;zensko;hispanic;0
chronic_glaucoma;blidness;1-4;musko;white;0
chronic_glaucoma;blidness;1-4;zensko;white;0
chronic_glaucoma;blidness;1-4;musko;other;0
chronic_glaucoma;blidness;1-4;zensko;other;0
chronic_glaucoma;blidness;5-14;musko;black;0.012
chronic_glaucoma;blidness;5-14;zensko;black;0.012
chronic_glaucoma;blidness;5-14;musko;hispanic;0.006
chronic_glaucoma;blidness;5-14;zensko;hispanic;0.006
chronic_glaucoma;blidness;5-14;musko;white;0.007
chronic_glaucoma;blidness;5-14;zensko;white;0.007
chronic_glaucoma;blidness;5-14;musko;other;0.011
chronic_glaucoma;blidness;5-14;zensko;other;0.011
chronic_glaucoma;blidness;15-29;musko;black;0.012
chronic_glaucoma;blidness;15-29;zensko;black;0.012
chronic_glaucoma;blidness;15-29;musko;hispanic;0.006
chronic_glaucoma;blidness;15-29;zensko;hispanic;0.006
chronic_glaucoma;blidness;15-29;musko;white;0.007
chronic_glaucoma;blidness;15-29;zensko;white;0.007
chronic_glaucoma;blidness;15-29;musko;other;0.011
chronic_glaucoma;blidness;15-29;zensko;other;0.011
chronic_glaucoma;blidness;30-44;musko;black;0.024
chronic_glaucoma;blidness;30-44;zensko;black;0.024
chronic_glaucoma;blidness;30-44;musko;hispanic;0.011
chronic_glaucoma;blidness;30-44;zensko;hispanic;0.011
chronic_glaucoma;blidness;30-44;musko;white;0.014
chronic_glaucoma;blidness;30-44;zensko;white;0.014
chronic_glaucoma;blidness;30-44;musko;other;0.022
chronic_glaucoma;blidness;30-44;zensko;other;0.022
chronic_glaucoma;blidness;45-59;musko;black;0.144
chronic_glaucoma;blidness;45-59;zensko;black;0.144
chronic_glaucoma;blidness;45-59;musko;hispanic;0.067
chronic_glaucoma;blidness;45-59;zensko;hispanic;0.067
chronic_glaucoma;blidness;45-59;musko;white;0.086
chronic_glaucoma;blidness;45-59;zensko;white;0.086
chronic_glaucoma;blidness;45-59;musko;other;0.134
chronic_glaucoma;blidness;45-59;zensko;other;0.134
chronic_glaucoma;blidness;60-74;musko;black;0.312
chronic_glaucoma;blidness;60-74;zensko;black;0.312
chronic_glaucoma;blidness;60-74;musko;hispanic;0.146
chronic_glaucoma;blidness;60-74;zensko;hispanic;0.146
chronic_glaucoma;blidness;60-74;musko;white;0.187
chronic_glaucoma;blidness;60-74;zensko;white;0.187
chronic_glaucoma;blidness;60-74;musko;other;0.291
chronic_glaucoma;blidness;60-74;zensko;other;0.291
chronic_glaucoma;blidness;75;musko;black;0.396
chronic_glaucoma;blidness;75;zensko;black;0.396
chronic_glaucoma;blidness;75;musko;hispanic;0.185
chronic_glaucoma;blidness;75;zensko;hispanic;0.185
chronic_glaucoma;blidness;75;musko;white;0.238
chronic_glaucoma;blidness;75;zensko;white;0.238
chronic_glaucoma;blidness;75;musko;other;0.37
chronic_glaucoma;blidness;75;zensko;other;0.37
cataract;double vision;0;musko;black;0
cataract;double vision;0;zensko;black;0
cataract;double vision;0;musko;hispanic;0
cataract;double vision;0;zensko;hispanic;0
cataract;double vision;0;musko;white;0
cataract;double vision;0;zensko;white;0
cataract;double vision;0;musko;other;0
cataract;double vision;0;zensko;other;0
cataract;double vision;1-4;musko;black;0
cataract;double vision;1-4;zensko;black;0
cataract;double vision;1-4;musko;hispanic;0
cataract;double vision;1-4;zensko;hispanic;0
cataract;double vision;1-4;musko;white;0
cataract;double vision;1-4;zensko;white;0
cataract;double vision;1-4;musko;other;0
cataract;double vision;1-4;zensko;other;0
cataract;double vision;5-14;musko;black;0.009
cataract;double vision;5-14;zensko;black;0.009
cataract;double vision;5-14;musko;hispanic;0.006
cataract;double vision;5-14;zensko;hispanic;0.006
cataract;double vision;5-14;musko;white;0.011
cataract;double vision;5-14;zensko;white;0.011
cataract;double vision;5-14;musko;other;0.012
cataract;double vision;5-14;zensko;other;0.012
cataract;double vision;30-44;musko;black;0.009
cataract;double vision;30-44;zensko;black;0.009
cataract;double vision;30-44;musko;hispanic;0.006
cataract;double vision;30-44;zensko;hispanic;0.006
cataract;double vision;30-44;musko;white;0.011
cataract;double vision;30-44;zensko;white;0.011
cataract;double vision;30-44;musko;other;0.012
cataract;double vision;30-44;zensko;other;0.012
cataract;double vision;15-29;musko;black;0
cataract;double vision;15-29;zensko;black;0
cataract;double vision;15-29;musko;hispanic;0
cataract;double vision;15-29;zensko;hispanic;0
cataract;double vision;15-29;musko;white;0
cataract;double vision;15-29;zensko;white;0
cataract;double vision;15-29;musko;other;0
cataract;double vision;15-29;zensko;other;0
cataract;double vision;45-59;musko;black;0.072
cataract;double vision;45-59;zensko;black;0.072
cataract;double vision;45-59;musko;hispanic;0.048
cataract;double vision;45-59;zensko;hispanic;0.048
cataract;double vision;45-59;musko;white;0.088
cataract;double vision;45-59;zensko;white;0.088
cataract;double vision;45-59;musko;other;0.096
cataract;double vision;45-59;zensko;other;0.096
cataract;double vision;60-74;musko;black;0.297
cataract;double vision;60-74;zensko;black;0.297
cataract;double vision;60-74;musko;hispanic;0.198
